,File,Abnormal,Result,R-R Interval,R Height,R_Onset-Rpeak,Q-Q Interval,Q Height,P_Onset-P_Offset,P Height,P-P Interval,P_Onset-Ppeak
41775,201,0,N,449,1200,70,444,983,46,1007,443,23
49823,209,0,N,205,1248,15,198,974,52,1012,207,41
71277,228,1,V,220,1431,36,207,963,107,1042,187,81
50151,209,0,N,253,1225,35,253,966,12,996,258,5
10295,105,0,N,247,889,20,236,651,37,718,248,24
22393,114,0,N,381,938,12,410,924,29,1028,377,17
20491,112,0,N,259,1017,22,273,834,46,867,262,26
28263,116,0,N,255,1084,22,253,810,26,869,255,8
51624,209,0,N,212,1196,15,214,930,36,960,219,24
28935,117,0,N,413,831,5,420,856,46,892,414,22
33146,119,0,N,331,1237,21,329,796,32,864,324,17
64753,220,1,S,84,1377,18,174,901,35,960,105,15
39678,124,1,N,353,1257,19,346,849,20,875,348,13
82112,234,0,N,236,1278,24,237,947,37,1005,232,18
27416,116,0,N,266,1287,18,266,797,45,849,268,25
36721,122,0,N,311,1176,24,310,789,45,870,307,21
21499,112,0,N,255,1014,17,254,865,40,904,255,21
76905,231,1,N,342,1278,18,342,933,35,1012,340,16
77629,232,1,N,724,1140,21,757,974,29,1002,725,15
66684,222,0,N,302,1147,13,304,985,37,1035,305,19
69093,223,0,N,257,1355,27,255,1022,29,1058,257,14
48899,208,0,N,209,1398,44,268,1052,29,1084,206,12
68599,223,0,N,274,1314,49,275,914,30,952,278,14
44506,205,0,N,238,1187,19,239,932,43,963,241,21
15427,109,1,N,261,1355,26,265,969,26,1026,262,19
41029,201,1,S,128,1096,11,142,983,29,1003,146,15
21972,112,0,N,267,1001,17,263,849,48,889,270,27
67114,222,0,N,177,1188,16,178,993,31,1031,184,23
56402,213,0,N,200,1490,21,200,981,27,1072,200,14
19783,112,0,N,243,1000,28,242,826,39,869,244,19
14379,108,0,N,394,1149,35,400,980,37,1033,393,21
27918,116,0,N,270,930,37,265,722,30,778,266,8
39670,124,1,N,351,1264,19,354,845,34,869,353,26
82857,234,0,N,237,1346,19,238,951,35,1014,239,18
59039,213,0,N,203,1528,28,202,1009,28,1070,202,14
69541,223,0,N,253,1343,52,250,885,46,919,252,27
7748,104,1,Q,302,1281,13,288,985,42,1008,314,19
70449,223,0,N,258,1326,27,254,911,37,951,257,18
1305,100,0,N,304,1211,20,303,918,49,975,304,34
82996,234,0,N,235,1354,40,234,974,38,1021,236,21
67754,222,1,N,334,1123,16,376,930,12,966,258,6
65261,220,0,N,324,1343,36,323,909,11,913,266,4
21828,112,0,N,265,992,16,265,846,52,887,262,30
60208,215,0,N,181,1194,25,192,986,20,1009,178,10
32732,119,0,N,337,1241,18,338,790,35,878,339,20
33056,119,0,N,294,1228,16,289,792,30,831,297,13
302,100,0,N,291,1199,19,291,913,25,981,294,18
28178,116,0,N,264,1064,17,264,791,42,838,263,22
54441,212,1,N,244,1247,49,245,947,34,1019,243,18
83199,234,0,N,237,1352,41,237,972,36,1026,238,20
76450,231,1,N,351,1287,16,353,907,33,978,356,17
49309,209,0,N,226,1214,17,226,965,33,1008,229,20
4176,102,1,Q,304,1146,18,310,964,27,980,312,10
243,100,0,N,298,1189,19,298,923,18,987,309,5
47843,208,1,V,172,1329,29,180,1083,29,1112,189,21
73986,230,0,N,324,1305,19,314,961,42,1000,321,18
63361,217,1,V,213,1150,12,222,997,77,1205,205,39
32227,119,1,V,193,1462,29,167,874,71,941,162,46
745,100,0,N,277,1194,18,278,920,23,989,281,5
35046,121,0,N,302,1018,47,299,851,41,880,299,17
17920,111,1,N,318,1203,13,301,978,49,1002,309,23
65672,220,0,N,332,1309,35,332,910,36,944,332,18
69337,223,0,N,237,1159,46,237,752,34,859,221,18
18741,111,1,N,284,1063,16,283,980,40,998,282,16
60128,215,0,N,188,1156,18,178,972,39,995,183,16
35420,122,0,N,254,1187,25,253,820,38,905,255,18
9493,105,0,N,164,1274,19,188,959,35,1004,199,21
59166,214,1,N,270,1332,32,261,989,33,1002,271,13
2631,101,0,N,345,1224,20,345,922,40,961,345,19
45044,205,0,N,233,1188,18,241,968,38,988,235,15
44740,205,0,N,237,1197,19,238,927,38,959,239,18
23680,114,0,N,311,921,9,315,945,29,986,310,19
79531,233,1,V,172,1365,46,105,935,14,1047,176,7
8053,104,1,Q,311,1203,8,322,1001,15,1073,312,6
57268,213,0,N,196,1481,19,197,938,26,1020,196,13
30900,118,1,N,296,1168,22,297,861,26,937,291,20
71699,228,0,N,321,1158,23,322,945,34,1003,331,17
69778,223,0,N,240,1283,25,238,907,42,942,240,26
25939,115,0,N,359,1357,23,359,882,42,916,367,25
40200,200,0,N,299,1221,19,297,972,28,995,335,16
18049,111,1,N,321,1060,16,321,937,45,956,317,18
17656,109,1,N,254,1524,26,254,944,31,986,257,17
10271,105,0,N,256,1238,31,249,921,35,998,256,21
39434,124,1,N,405,1339,18,392,858,22,886,406,8
46942,205,0,N,266,1206,16,278,961,42,983,265,18
934,100,0,N,273,1232,19,272,921,28,987,270,23
53319,212,0,N,215,1350,45,216,966,34,1035,217,17
24684,115,0,N,356,1367,21,360,946,22,977,358,4
48138,208,1,V,209,1295,31,146,1003,24,1039,229,18
52845,210,0,N,345,1295,24,341,1078,50,1095,342,23
12188,106,0,N,287,1446,18,286,959,29,1035,288,14
41537,201,0,N,410,1192,57,414,973,40,1004,414,19
18853,111,1,N,298,1097,14,300,929,31,961,304,18
21686,112,0,N,257,1005,24,255,850,43,884,252,16
75234,231,1,N,351,1343,17,353,948,26,1026,354,10
69569,223,0,N,257,1300,25,258,894,43,930,259,26
60943,215,0,N,192,1155,24,217,953,18,994,192,8
48659,208,0,N,257,1388,15,273,1018,27,1045,271,15
58445,213,0,N,196,1552,22,196,1036,27,1118,195,13
23628,114,0,N,313,1010,6,317,970,29,1000,323,21
33942,121,0,N,377,1041,23,373,862,25,877,384,6
17739,111,1,N,323,1158,16,323,999,50,1003,318,20
41606,201,0,N,441,1186,30,459,974,41,1005,449,20
46510,205,0,N,259,1174,20,259,929,35,954,263,16
14955,108,0,N,324,860,12,343,954,33,1014,328,19
55930,213,0,N,202,1397,25,212,876,29,973,198,15
74918,230,0,N,232,1243,19,232,915,37,963,232,11
59378,214,1,N,261,1488,57,264,1004,40,1030,263,20
49905,209,0,N,207,1196,18,207,967,34,1004,214,8
68402,222,0,N,170,1201,17,170,954,41,1011,201,18
56539,213,0,N,197,1512,17,187,950,27,1037,197,13
24251,115,0,N,353,1340,22,357,911,23,943,353,18
77132,231,1,N,324,1322,18,324,965,36,1025,323,18
19344,111,1,N,284,1126,16,283,975,37,1002,286,14
36796,122,0,N,268,1203,25,267,803,46,895,266,18
48496,208,0,N,219,1325,18,225,963,29,998,218,13
11198,105,0,N,240,1256,19,241,949,35,1023,240,21
64074,219,0,N,312,1422,21,314,998,42,1046,310,18
77011,231,1,N,347,1341,18,345,981,37,1043,340,19
38607,123,0,N,427,1252,42,432,837,41,889,424,18
24137,114,0,N,332,1160,25,328,999,21,1041,336,13
935,100,0,N,290,1195,20,290,906,26,991,286,23
73911,230,0,N,317,1354,14,317,998,39,1032,317,19
49869,209,0,N,194,1210,29,186,1012,13,1082,178,5
45304,205,0,N,240,1191,17,240,955,39,985,240,19
33472,119,0,N,335,1232,22,334,768,34,849,332,18
49847,209,0,N,192,1196,16,195,930,46,1010,199,20
8035,104,1,Q,293,1250,27,302,975,27,1016,292,16
48594,208,0,N,204,1211,23,158,871,16,895,179,7
82645,234,0,N,238,1357,47,238,1026,40,1091,237,19
70179,223,0,N,244,1308,52,248,916,49,955,241,29
26714,116,0,N,260,1500,22,258,773,42,828,261,22
78489,232,1,S,262,1154,17,251,976,24,982,269,14
21196,112,0,N,256,1031,23,262,906,15,943,260,4
17292,109,1,N,257,1331,27,259,963,14,1017,258,8
31691,119,0,N,470,1257,18,502,832,34,910,506,20
30815,118,1,N,308,1090,21,289,873,27,932,306,21
74798,230,0,N,265,1436,61,266,968,40,1013,265,20
7082,103,0,N,318,1305,19,318,927,52,970,317,21
47893,208,0,N,296,1333,17,314,988,33,1017,317,19
82944,234,0,N,240,1330,17,233,967,33,1019,243,17
11332,105,0,N,253,1259,21,259,949,34,1012,254,18
73935,230,0,N,335,1345,59,335,994,37,1027,334,17
4294,102,1,Q,285,1197,17,261,960,13,973,220,3
82335,234,0,N,243,1302,19,244,959,35,1010,244,15
73430,230,0,N,110,1367,62,151,970,39,999,99,19
41250,201,0,N,272,1195,27,230,976,26,987,280,12
60090,215,0,N,191,1195,24,181,972,22,1004,198,9
43075,203,0,N,213,1317,27,244,930,14,963,185,7
29691,118,1,N,300,1143,23,314,827,26,890,295,16
611,100,0,N,275,1190,19,275,924,24,987,270,17
34991,121,0,N,304,1040,40,302,898,15,931,303,11
5817,103,0,N,274,1403,19,274,934,47,995,277,17
17039,109,1,N,259,1313,27,260,953,14,1006,263,7
20675,112,0,N,250,1057,48,255,893,46,923,248,21
22689,114,0,N,581,918,10,597,968,30,991,627,19
18039,111,1,N,290,1132,13,248,938,39,971,292,16
17466,109,1,N,246,1188,25,262,964,18,1025,242,8
24193,115,0,N,316,1294,24,321,838,40,874,318,21
74998,230,0,N,277,1241,54,285,917,37,957,277,18
13509,106,1,V,173,1210,63,175,1031,65,1102,189,35
57500,213,0,N,199,1418,17,194,908,28,972,197,15
64009,219,0,N,473,1450,20,503,929,19,973,459,9
58938,213,0,N,205,1489,24,206,973,27,1070,210,14
5472,102,1,Q,311,1205,21,293,965,15,973,285,2
32125,119,0,N,335,1263,26,337,797,34,877,333,19
25598,115,0,N,380,1357,23,375,930,42,961,376,17
80728,234,0,N,234,1322,23,234,957,37,1014,236,19
10205,105,0,N,257,1275,17,257,958,33,1020,255,19
27705,116,1,V,178,1568,54,145,836,67,919,134,40
25157,115,0,N,316,1318,17,324,921,19,959,317,16
23332,114,0,N,342,953,7,343,944,12,967,339,3
61337,215,0,N,213,1153,16,220,950,30,985,219,18
66706,222,0,N,273,1139,15,272,989,34,1042,271,14
4301,102,1,Q,313,1132,23,300,940,10,942,310,3
6146,103,0,N,316,1392,20,315,930,46,990,314,16
17686,109,1,N,280,1530,28,283,969,20,1011,293,6
19853,112,0,N,247,1044,25,252,874,50,914,249,29
7102,103,0,N,327,1383,19,326,955,29,1000,323,18
20641,112,0,N,251,1023,21,242,864,43,904,251,23
31387,118,1,N,257,1160,22,258,799,25,893,259,19
38343,123,0,N,453,1211,29,457,819,49,880,450,23
59851,214,1,N,282,1384,65,278,969,44,990,281,21
10412,105,0,N,274,1277,21,276,972,37,1036,276,22
73270,230,0,N,351,1310,59,350,967,43,994,351,22
36059,122,0,N,248,1164,23,248,774,33,880,247,11
50540,209,0,N,225,1259,17,207,992,46,1020,230,18
67204,222,0,N,312,1157,14,311,998,37,1059,310,18
77368,232,1,S,266,1087,19,225,997,13,1008,312,8
36435,122,0,N,276,1200,24,275,802,40,893,277,19
34472,121,0,N,376,1028,26,373,834,26,846,383,20
63903,219,0,N,491,1272,20,508,763,33,803,468,10
67599,222,0,N,154,1149,16,155,909,37,972,206,19
62222,215,0,N,188,1177,16,191,946,33,973,188,15
23251,114,0,N,459,1037,7,476,993,25,1005,480,16
7225,103,0,N,310,1345,18,310,921,47,962,304,14
1094,100,0,N,294,1187,23,290,915,18,973,291,4
60793,215,0,N,177,1180,15,186,981,26,1007,179,13
27641,116,0,N,276,1380,25,270,792,43,837,274,23
74320,230,0,N,244,1122,56,251,779,48,844,290,19
46547,205,0,N,257,1188,16,258,947,37,971,257,13
17395,109,1,N,257,1323,25,253,968,20,1016,269,4
72865,230,0,N,269,1273,19,264,987,38,1024,271,18
3008,101,0,N,347,1329,18,347,950,44,993,346,20
18111,111,1,N,313,1190,12,297,956,27,986,305,6
63532,217,1,Q,305,1066,32,286,967,24,1008,270,7
2439,101,0,N,287,1293,20,289,896,38,962,288,20
12498,106,1,V,160,1338,62,145,1017,72,1064,126,43
21458,112,0,N,260,1007,24,264,840,41,873,261,21
15231,108,0,N,307,752,22,315,848,30,914,300,13
5751,103,0,N,311,1363,19,312,920,46,973,314,18
82874,234,0,N,240,1305,20,241,938,36,1004,241,16
53810,212,1,N,218,1224,47,219,928,28,995,221,16
64330,219,0,N,283,1346,26,301,892,34,919,281,26
21384,112,0,N,260,1007,18,252,853,42,889,261,21
24910,115,0,N,307,1346,30,301,909,49,956,304,18
4038,101,0,N,371,1288,17,371,935,44,974,371,22
39960,200,0,N,198,1168,44,149,967,26,990,232,17
29933,118,1,N,251,991,24,255,717,27,787,252,19
73426,230,0,N,342,1289,32,339,968,37,1006,346,18
49096,208,0,N,232,1342,22,247,957,41,994,230,18
56929,213,0,N,230,1452,21,219,939,30,1031,261,16
40603,200,0,N,251,1226,24,254,992,20,1010,229,10
12717,106,0,N,298,1312,32,295,938,27,997,301,14
66742,222,0,N,318,1101,40,319,1003,43,1024,320,25
81418,234,0,N,239,1328,48,238,991,36,1035,238,18
61196,215,0,N,199,1136,17,192,932,28,969,197,16
53487,212,1,N,223,1281,45,222,968,32,1044,225,16
31885,119,0,N,326,1294,20,326,851,35,927,318,20
81683,234,0,N,233,1331,45,235,958,39,1016,232,18
82431,234,0,N,237,1344,46,236,986,38,1043,234,19
37636,123,0,N,436,1271,23,433,829,44,886,436,21
5142,102,1,Q,303,1129,16,323,963,40,973,239,6
74961,230,0,N,263,1243,22,276,967,21,1031,254,2
26050,115,0,N,299,1319,18,300,884,51,923,299,20
75451,231,1,N,317,1289,16,318,965,37,1018,319,19
15228,108,0,N,313,861,19,308,914,42,982,308,24
40987,201,0,N,199,1167,39,241,962,32,1001,179,8
13042,106,1,V,201,1172,88,176,989,81,1097,141,42
34382,121,0,N,358,998,23,361,847,10,859,366,3
134,100,0,N,295,1188,21,296,921,26,994,296,17
23723,114,0,N,336,1014,7,313,960,29,987,341,17
17215,109,1,N,260,1322,26,261,962,40,1014,267,11
16642,109,1,N,271,1305,29,277,954,42,1009,255,9
204,100,0,N,277,1204,18,277,935,26,996,274,18
41744,201,1,V,392,1048,38,410,986,42,1006,410,20
25106,115,0,N,300,1331,28,292,875,50,915,298,18
66304,222,0,N,336,1115,14,331,1005,34,1030,331,15
11273,105,0,N,239,1274,23,237,958,35,1025,238,20
1698,100,0,N,314,1263,19,314,932,25,996,314,17
8594,104,1,Q,288,1250,24,262,970,33,993,251,16
79656,233,0,N,216,1384,41,212,1014,38,1073,214,20
53967,212,0,N,246,1280,25,242,916,28,1016,251,15
39035,123,0,N,401,1243,29,408,827,42,879,400,17
54696,212,0,N,241,1300,50,242,944,35,1003,238,19
19530,111,1,N,286,1141,14,260,961,40,1001,286,17
83184,234,0,N,240,1361,19,240,972,37,1032,240,22
26007,115,0,N,387,1335,16,385,904,47,941,384,31
33878,121,0,N,353,1100,23,350,893,47,919,349,27
66761,222,0,N,329,1180,15,334,988,33,1054,333,17
81802,234,0,N,242,1336,20,242,986,41,1048,241,20
57594,213,0,N,200,1446,18,195,942,27,1021,198,14
59055,214,1,N,297,1393,25,308,969,48,985,305,32
48567,208,0,N,189,1244,17,181,940,34,996,185,17
54182,212,1,N,224,1281,49,223,973,32,1018,227,19
57082,213,0,N,201,1423,21,200,874,27,946,198,14
49779,209,0,N,198,1229,19,199,927,38,982,194,11
6114,103,0,N,305,1388,19,305,914,51,977,298,18
5176,102,1,Q,303,1193,18,289,950,14,951,357,7
30993,118,1,N,313,1082,28,323,835,23,904,312,17
27917,116,0,N,263,943,18,275,809,28,857,265,8
24012,114,0,N,289,1062,6,268,1007,30,1021,343,20
1486,100,0,N,275,1210,18,276,930,23,986,282,19
58535,213,0,N,206,1392,19,220,840,29,916,208,16
12829,106,0,N,298,1407,37,298,952,32,1025,297,16
79873,233,0,N,213,1358,21,214,981,39,1048,213,18
24112,114,0,N,298,1125,26,297,959,15,983,287,7
36356,122,0,N,256,1201,24,257,811,42,896,254,18
21016,112,0,N,249,967,18,249,797,33,833,257,10
67501,222,0,N,159,1099,15,148,980,59,1028,137,18
53784,212,1,N,237,1246,49,235,950,37,1024,238,8
56935,213,0,N,193,1416,18,177,946,25,1019,197,13
12273,106,0,N,349,1435,18,350,982,31,1069,349,14
21763,112,0,N,263,1001,22,252,847,40,881,257,20
16158,109,1,N,257,1291,28,256,949,21,1001,258,5
56816,213,0,N,197,1465,19,197,936,27,1017,193,15
41287,201,0,N,146,1166,56,142,981,61,1011,145,39
11579,105,0,N,252,1262,20,256,949,36,1011,254,22
8309,104,1,Q,288,1055,27,294,966,25,980,249,3
54927,212,0,N,226,1366,47,225,955,31,1020,228,17
67274,222,0,N,276,1128,13,289,988,34,1054,275,17
4590,102,1,Q,308,1173,27,290,945,15,957,330,5
4252,102,1,Q,291,1182,19,287,950,17,973,246,9
23061,114,0,N,363,1005,7,394,1014,28,1023,355,18
74530,230,0,N,300,1265,20,298,946,39,990,300,17
70860,228,0,N,299,1127,24,299,946,37,1002,298,18
20729,112,0,N,250,1003,21,241,835,28,869,254,10
15941,109,1,N,253,1334,26,252,956,20,1004,259,4
17474,109,1,N,240,1406,25,255,922,13,986,294,5
18504,111,1,N,320,1015,16,320,918,46,928,318,19
45229,205,0,N,231,1187,19,231,925,40,962,233,19
73433,230,0,N,320,1354,57,319,985,38,1022,320,18
56885,213,0,N,195,1459,19,196,945,28,1021,197,13
79901,233,0,N,216,1371,42,211,986,42,1051,216,22
37086,122,0,N,264,1202,22,264,804,40,896,263,16
58614,213,0,N,206,1504,18,216,961,27,1033,208,14
51092,209,0,N,232,1233,17,225,973,47,1012,229,20
26388,116,0,N,273,1529,23,272,755,29,806,274,9
4478,102,1,Q,307,1146,26,299,964,30,985,286,11
39985,200,0,N,219,1203,25,215,985,29,1011,229,22
39063,123,0,N,417,1293,22,419,829,44,895,416,18
69680,223,0,N,249,1331,47,247,917,40,953,250,22
16764,109,1,N,256,1304,29,256,955,22,1002,250,4
14778,108,0,N,317,871,12,299,954,43,1016,317,28
61501,215,0,N,207,1199,24,203,976,23,1012,197,11
42897,202,0,N,170,1306,26,180,938,32,974,174,15
53476,212,1,N,233,1231,48,235,932,34,1013,231,17
41387,201,0,N,228,1181,52,231,956,34,968,223,13
69905,223,0,N,243,1286,49,241,912,44,946,242,26
30188,118,1,S,222,1152,20,181,866,66,907,201,44
72034,228,1,V,188,1053,54,181,992,104,1066,183,70
73419,230,0,N,134,1304,23,169,963,37,1004,167,17
46388,205,0,N,262,1200,19,262,935,39,967,259,16
50616,209,0,N,209,1198,20,211,937,41,975,215,26
27903,116,0,N,266,1295,20,274,791,40,847,264,22
41072,201,0,N,308,1205,35,285,971,37,984,348,19
53927,212,1,N,236,1249,18,228,923,32,988,238,18
26157,116,0,N,271,1521,21,266,796,44,851,272,27
7856,104,1,Q,279,1011,21,277,941,17,1003,279,7
2523,101,0,N,357,1314,18,357,970,43,1007,358,19
1608,100,0,N,302,1267,21,301,918,28,998,293,19
7417,103,0,N,341,1324,19,341,939,49,977,343,18
31880,119,1,V,191,1439,31,164,847,69,958,163,42
65529,220,0,N,312,1336,34,311,883,34,921,311,17
69219,223,0,N,258,1078,24,260,915,35,948,257,15
41174,201,0,N,230,1154,26,257,960,34,974,237,14
56091,213,0,N,202,1437,20,201,937,28,1017,199,14
68701,223,0,N,257,1309,52,256,911,49,949,256,30
16002,109,1,N,254,1283,26,250,947,13,995,253,9
72853,230,0,N,305,1250,19,301,978,36,1015,306,16
41591,201,0,N,492,1201,32,467,975,44,1006,526,24
24908,115,0,N,312,1389,25,312,970,44,996,310,27
56751,213,0,N,192,1510,20,191,987,26,1056,193,13
67598,222,0,N,149,1141,21,148,892,41,966,143,19
2275,101,0,N,313,1285,21,312,957,32,993,313,10
54111,212,1,N,250,1259,20,237,941,40,1025,249,19
75812,231,1,N,345,1341,17,346,940,37,1016,347,19
5043,102,1,Q,293,1188,18,279,960,16,964,296,8
67451,222,0,N,437,1094,13,447,900,80,964,434,28
8663,104,1,Q,297,1217,19,324,1027,31,978,316,18
22051,112,0,N,258,1003,27,263,837,21,874,253,19
45752,205,0,N,250,1193,17,249,948,38,974,247,18
20060,112,0,N,263,1033,21,264,852,46,887,260,23
41428,201,0,N,142,1203,24,174,969,46,1007,187,23
49956,209,0,N,189,1200,17,189,961,45,1008,190,14
62037,215,0,N,214,1171,19,203,964,32,989,211,19
58620,213,0,N,204,1532,21,204,997,28,1087,204,15
61385,215,0,N,188,1149,16,200,951,32,980,192,12
57924,213,0,N,195,1476,17,202,970,26,1043,196,12
38820,123,0,N,435,1189,28,431,806,42,862,439,20
76366,231,1,N,327,1324,17,326,964,36,1024,327,18
71623,228,0,N,342,1151,27,341,955,43,990,341,14
2325,101,0,N,282,1221,47,282,957,32,1002,281,11
27651,116,0,N,270,1460,20,265,768,45,825,272,25
11832,106,0,N,450,1271,32,468,985,32,1031,490,18
33308,119,0,N,306,1226,20,314,793,33,866,304,17
8961,104,1,Q,280,1077,31,281,963,12,966,282,6
21557,112,0,N,270,1008,16,264,856,26,891,270,5
57203,213,0,N,198,1500,18,200,973,25,1060,199,13
53004,210,0,N,232,1243,21,200,981,35,997,241,20
43145,203,0,N,60,1342,35,78,939,22,1407,71,11
79402,233,0,N,219,1377,23,224,975,44,1039,216,24
67080,222,1,S,168,1195,17,179,984,43,1052,129,14
23536,114,0,N,283,1003,6,264,974,26,990,288,16
59463,214,1,N,305,1451,24,301,980,43,1001,298,21
11260,105,0,N,248,1283,24,245,956,38,1026,247,22
61667,215,0,N,175,1194,26,193,981,35,1018,174,14
3705,101,0,N,315,1284,18,315,936,37,973,316,12
21300,112,0,N,251,1029,18,249,866,44,901,253,20
72569,228,1,V,214,1498,37,201,967,14,1084,191,4
53944,212,1,N,216,1257,52,213,953,37,1017,213,21
43330,203,0,N,205,1309,28,183,1025,13,1020,248,9
55857,212,1,N,222,1461,16,220,1083,33,1139,220,14
35823,122,0,N,250,1185,25,250,810,39,888,250,17
38005,123,0,N,458,1214,29,466,835,44,889,461,20
63971,219,0,N,495,1373,21,541,831,35,880,475,10
75832,231,1,N,344,1329,18,344,940,36,1016,346,19
10234,105,0,N,267,1258,26,270,959,33,1021,271,19
59586,214,1,N,248,1440,56,258,993,41,1017,247,23
18654,111,1,N,304,1087,14,304,973,40,982,308,16
28034,116,0,N,258,1487,22,254,788,30,853,254,9
29707,118,1,N,282,1091,22,267,709,15,786,274,9
71489,228,0,N,338,1140,28,338,943,40,1028,339,17
49039,208,1,V,163,1359,37,157,987,55,1036,136,31
27645,116,0,N,271,1398,19,263,781,45,833,273,25
71188,228,0,N,277,1183,23,278,967,27,988,295,13
11767,106,1,V,167,1304,64,176,1009,61,1180,180,29
80799,234,0,N,245,1254,47,242,920,39,975,244,18
81049,234,0,N,239,1314,39,243,962,30,1006,241,12
37936,123,0,N,401,1227,24,396,827,43,874,399,18
62502,215,0,N,206,1214,26,236,985,31,1006,201,19
41140,201,0,N,237,1175,28,257,970,17,980,212,7
65181,220,0,N,342,1325,34,342,901,35,935,345,18
7804,104,1,Q,292,1059,22,266,967,15,979,287,4
23645,114,0,N,292,965,7,263,974,19,999,241,9
1241,100,0,N,290,1192,22,288,897,27,963,284,19
64181,219,0,N,315,1377,18,343,887,51,917,356,30
53049,210,0,N,224,1268,20,160,996,47,1008,262,23
41701,201,1,V,335,1072,21,293,998,13,1000,323,4
41384,201,1,V,68,1041,57,49,974,36,987,120,13
23109,114,0,N,352,1120,33,351,994,26,1016,354,16
19122,111,1,N,313,1064,15,299,864,48,883,313,20
49046,208,0,N,222,1285,20,270,946,30,977,215,13
7647,103,0,N,326,1338,18,326,932,53,974,328,20
79598,233,0,N,211,1354,41,213,974,43,1045,211,21
42798,202,0,N,406,1337,30,403,957,45,983,403,25
25810,115,0,N,365,1383,21,369,947,42,981,365,20
38684,123,0,N,379,1259,24,381,825,40,886,381,18
971,100,0,N,272,1234,19,273,922,19,989,269,5
8523,104,1,Q,295,1014,19,262,951,23,955,252,7
42243,201,0,N,265,1168,26,252,970,37,990,248,10
28589,117,0,N,427,916,58,420,876,42,919,426,20
39095,124,1,N,455,1310,19,440,871,20,896,468,6
54614,212,1,N,231,1204,45,226,942,32,1016,232,14
42606,202,0,N,376,1259,64,379,962,40,986,369,18
4918,102,1,Q,301,1174,25,318,955,12,967,295,2
13807,107,1,Q,316,1429,26,297,915,13,938,338,5
39645,124,1,N,396,1328,18,401,892,20,916,407,7
14809,108,0,N,330,1253,38,362,1164,27,1238,344,14
29855,118,1,N,258,1121,21,260,827,23,934,261,15
12651,106,1,V,169,1333,74,186,977,64,1165,184,31
71743,228,0,N,294,1161,24,294,951,33,999,293,9
39126,124,1,N,459,1292,19,443,854,19,879,476,7
19531,111,1,N,311,1113,16,336,976,49,981,304,20
68291,222,0,N,262,1147,18,263,989,46,1013,257,18
1430,100,0,N,302,1240,19,302,930,29,989,303,21
40161,200,0,N,283,1196,23,264,953,18,985,298,9
81104,234,0,N,248,1285,40,246,950,39,998,248,22
60694,215,0,N,187,1219,15,201,966,29,1010,188,11
32471,119,0,N,478,1258,29,504,805,35,894,507,20
76680,231,0,N,371,1366,18,405,955,37,1031,417,19
60392,215,0,N,198,1161,22,183,955,36,982,195,13
69892,223,1,V,171,1087,17,131,761,13,903,218,5
13798,107,1,Q,297,1451,21,264,906,23,1008,244,17
39557,124,1,N,364,1252,46,362,856,20,882,375,6
48837,208,0,N,212,1344,17,209,949,24,1004,211,12
70332,223,1,V,180,1078,28,193,907,13,925,184,5
57763,213,1,F,203,1590,50,211,1000,29,1110,199,14
54598,212,1,N,240,1286,47,240,961,35,1031,237,18
1004,100,0,N,287,1229,23,287,908,52,979,284,24
8009,104,0,N,278,1248,21,293,991,18,1021,277,9
12407,106,0,N,306,1433,24,304,964,34,1055,305,23
29567,118,1,N,312,1160,25,324,848,30,920,308,24
6433,103,0,N,313,1395,19,313,920,48,983,312,18
65104,220,0,N,334,1246,30,335,905,12,915,263,4
51539,209,0,N,228,1256,17,229,971,40,1016,229,12
26373,116,0,N,270,1514,19,272,779,39,829,270,22
74835,230,0,N,260,1308,18,267,992,80,1101,251,41
45574,205,0,N,236,1142,17,236,940,38,968,236,17
21082,112,0,N,247,1050,17,250,879,39,911,246,20
44373,203,0,N,235,1219,43,250,967,29,994,245,20
14044,108,0,N,389,1141,32,372,977,37,1030,387,23
77291,232,1,S,253,1161,26,231,1016,15,1028,258,9
53122,210,0,N,272,1233,20,229,977,21,995,290,7
71515,228,0,N,280,1096,21,284,917,19,995,301,6
61260,215,0,N,197,1180,17,186,957,26,991,206,15
74661,230,0,N,265,1411,60,266,1002,38,1035,265,15
68627,223,0,N,267,1308,28,265,911,38,958,267,20
82818,234,0,N,242,1380,45,240,995,37,1047,241,18
44303,203,1,V,143,818,11,156,971,41,991,140,17
27586,116,0,N,261,1441,20,262,845,45,902,263,26
10199,105,0,N,264,1269,19,258,950,34,1011,266,20
52891,210,0,N,214,1245,20,202,997,46,1012,209,29
16001,109,1,N,248,1306,28,247,951,15,1002,247,11
25784,115,0,N,299,1437,17,312,1000,39,1043,302,19
735,100,0,N,292,1182,18,292,924,59,988,290,44
59760,214,1,V,183,1222,24,202,950,38,983,187,28
7009,103,0,N,317,1371,18,317,908,47,952,318,18
55951,213,0,N,197,1425,20,179,921,27,1007,195,14
12444,106,0,N,377,1429,34,397,955,31,1025,429,16
28920,117,0,N,424,904,59,431,825,41,864,423,21
65348,220,0,N,317,1273,33,319,891,34,918,315,16
7294,103,0,N,332,1327,19,332,930,30,971,332,20
77674,232,1,S,262,1183,23,221,979,24,997,260,14
67388,222,1,N,379,1236,14,339,987,26,1028,408,19
81568,234,0,N,229,1327,40,227,972,38,1017,231,19
39765,124,1,N,366,1305,19,364,911,35,933,375,20
24582,115,0,N,330,1318,30,327,906,49,939,329,19
